Variable,Unit,Definition
Atmospheric Concentrations|CH4,ppb,"Atmospheric concentrations of methane"
Atmospheric Concentrations|CO2,ppm,"Atmospheric concentrations of carbon dioxide"
Atmospheric Concentrations|N2O,ppb,"Atmospheric concentrations of nitrous oxide"
Effective Radiative Forcing,W/m^2,"Total effective radiative forcing (i.e. after stratospheric temperature adjustments and rapid adjustments)"
Effective Radiative Forcing|Aerosols,W/m^2,"Effective radiative forcing (i.e. after stratospheric temperature adjustments and rapid adjustments) due to aerosols"
Effective Radiative Forcing|Aerosols|Direct Effect,W/m^2,"Effective radiative forcing (i.e. after stratospheric temperature adjustments and rapid adjustments) due to aerosol-radiation interactions (so-called direct effect)"
Effective Radiative Forcing|Aerosols|Direct Effect|BC,W/m^2,"Effective radiative forcing (i.e. after stratospheric temperature adjustments and rapid adjustments) due to aerosol-radiation interactions (so-called direct effect) from black carbon (BC) emissions"
Effective Radiative Forcing|Aerosols|Direct Effect|BC|MAGICC AFOLU,W/m^2,"Effective radiative forcing (i.e. after stratospheric temperature adjustments and rapid adjustments) due to aerosol-radiation interactions (so-called direct effect) from black carbon (BC) emissions from agriculture, forestry and other land use (IPCC category 3), excluding any fossil-fuel based emissions in the Agricultural sector (hence not identical to WG3 AFOLU)"
Effective Radiative Forcing|Aerosols|Direct Effect|BC|MAGICC Fossil and Industrial,W/m^2,"Effective radiative forcing (i.e. after stratospheric temperature adjustments and rapid adjustments) due to aerosol-radiation interactions (so-called direct effect) from black carbon (BC) emissions from energy use on supply and demand side (IPCC category 1A, 1B), industrial processes (IPCC category 2), waste (IPCC category 4) and other (IPCC category 5)"
Effective Radiative Forcing|Aerosols|Direct Effect|OC,W/m^2,"Effective radiative forcing (i.e. after stratospheric temperature adjustments and rapid adjustments) due to aerosol-radiation interactions (so-called direct effect) from organic carbon (OC) emissions"
Effective Radiative Forcing|Aerosols|Direct Effect|OC|MAGICC AFOLU,W/m^2,"Effective radiative forcing (i.e. after stratospheric temperature adjustments and rapid adjustments) due to aerosol-radiation interactions (so-called direct effect) from organic carbon (OC) emissions from agriculture, forestry and other land use (IPCC category 3), excluding any fossil-fuel based emissions in the Agricultural sector (hence not identical to WG3 AFOLU)"
Effective Radiative Forcing|Aerosols|Direct Effect|OC|MAGICC Fossil and Industrial,W/m^2,"Effective radiative forcing (i.e. after stratospheric temperature adjustments and rapid adjustments) due to aerosol-radiation interactions (so-called direct effect) from organic carbon (OC) emissions from energy use on supply and demand side (IPCC category 1A, 1B), industrial processes (IPCC category 2), waste (IPCC category 4) and other (IPCC category 5)"
Effective Radiative Forcing|Aerosols|Direct Effect|Sulfur,W/m^2,"Effective radiative forcing (i.e. after stratospheric temperature adjustments and rapid adjustments) due to aerosol-radiation interactions (so-called direct effect) from sulfur (as a precursor for sulfates) emissions"
